borrower_id,first_name,last_name,date_of_birth,age_band_note,ssn_token,ssn_masked,email,phone,street,city,state,postal_code,prior_street,prior_city,prior_state,prior_postal_code,years_at_current_address,marital_status,dependents,citizenship_status,credit_file_token,credit_file_masked,employer,employer_sector,occupation
BORR-000075,Malik,Okafor,1980-01-11,Age is never a credit factor (CRD-SCR-006); date of birth is held for identity verification only.,SYN-SSN-000075,***-**-0075,malik.okafor075@example.com,(480) 555-0175,3046 Orchardstone Way,Chandler,AZ,85224,,,,,8,Unmarried,1,US Citizen,SYN-CRDT-000075,****0075,Harborline Logistics,logistics,Operations Supervisor
BORR-000076,Ruth,Whitfield,1967-08-01,Age is never a credit factor (CRD-SCR-006); date of birth is held for identity verification only.,SYN-SSN-000076,***-**-0076,ruth.whitfield076@example.com,(954) 555-0176,6471 Verdigris Lane,Coral Springs,FL,33071,,,,,4,Married,1,US Citizen,SYN-CRDT-000076,****0076,Aldermill Retail Group,retail,District Supervisor
BORR-000077,Talia,Baptiste,1974-05-28,Age is never a credit factor (CRD-SCR-006); date of birth is held for identity verification only.,SYN-SSN-000077,***-**-0077,talia.baptiste077@example.com,(281) 555-0177,1253 Verdigris Lane,Sugar Land,TX,77479,,,,,11,Unmarried,2,US Citizen,SYN-CRDT-000077,****0077,Latchford Construction,construction,Estimator
BORR-000078,Devon,Achterberg,1969-04-18,Age is never a credit factor (CRD-SCR-006); date of birth is held for identity verification only.,SYN-SSN-000078,***-**-0078,devon.achterberg078@example.com,(248) 555-0178,9122 Kestrel Ridge,Rochester Hills,MI,48307,,,,,5,Unmarried,0,Permanent Resident,SYN-CRDT-000078,****0078,Orchard Point Hospitality,hospitality,Front Office Manager
BORR-000079,Elena,Underhill,1994-05-01,Age is never a credit factor (CRD-SCR-006); date of birth is held for identity verification only.,SYN-SSN-000079,***-**-0079,elena.underhill079@example.com,(303) 555-0179,344 Umberwood Place,Broomfield,CO,80020,,,,,3,Separated,3,Permanent Resident,SYN-CRDT-000079,****0079,Latchford Construction,construction,Estimator
BORR-000080,Rosa,Petrosyan,1968-07-15,Age is never a credit factor (CRD-SCR-006); date of birth is held for identity verification only.,SYN-SSN-000080,***-**-0080,rosa.petrosyan080@example.com,(972) 555-0180,2781 Windermere Court,Plano,TX,75024,6474 Cedarhollow Drive,Sandy Springs,GA,30328,2,Unmarried,0,US Citizen,SYN-CRDT-000080,****0080,Blue Larkspur Manufacturing,manufacturing,Quality Engineer
BORR-000081,Greta,Achterberg,1966-02-07,Age is never a credit factor (CRD-SCR-006); date of birth is held for identity verification only.,SYN-SSN-000081,***-**-0081,greta.achterberg081@example.com,(480) 555-0181,7121 Rosslyn Terrace,Chandler,AZ,85224,,,,,8,Unmarried,1,US Citizen,SYN-CRDT-000081,****0081,Northgate Public Schools,education,Classroom Teacher
BORR-000082,Tobias,Osei,2002-01-02,Age is never a credit factor (CRD-SCR-006); date of birth is held for identity verification only.,SYN-SSN-000082,***-**-0082,tobias.osei082@example.com,(480) 555-0182,1740 Orchardstone Way,Chandler,AZ,85224,,,,,7,Separated,1,US Citizen,SYN-CRDT-000082,****0082,Sable Ridge Software,technology,Product Manager
BORR-000083,Anton,Adeyemi,1993-02-12,Age is never a credit factor (CRD-SCR-006); date of birth is held for identity verification only.,SYN-SSN-000083,***-**-0083,anton.adeyemi083@example.com,(919) 555-0183,3762 Cedarhollow Drive,Cary,NC,27513,,,,,10,Married,2,US Citizen,SYN-CRDT-000083,****0083,Pinewater Utilities District,utilities,Compliance Officer
BORR-000084,Noor,Ferreira,1982-02-01,Age is never a credit factor (CRD-SCR-006); date of birth is held for identity verification only.,SYN-SSN-000084,***-**-0084,noor.ferreira084@example.com,(630) 555-0184,3754 Thistledown Drive,Naperville,IL,60540,,,,,7,Separated,1,US Citizen,SYN-CRDT-000084,****0084,Northgate Public Schools,education,Curriculum Coordinator
BORR-000085,Priya,Mbeki,1991-11-21,Age is never a credit factor (CRD-SCR-006); date of birth is held for identity verification only.,SYN-SSN-000085,***-**-0085,priya.mbeki085@example.com,(303) 555-0185,5694 Nightingale Close,Broomfield,CO,80020,,,,,9,Separated,0,Permanent Resident,SYN-CRDT-000085,****0085,Harborline Logistics,logistics,Operations Supervisor
BORR-000086,Nadia,Nakagawa,1970-09-17,Age is never a credit factor (CRD-SCR-006); date of birth is held for identity verification only.,SYN-SSN-000086,***-**-0086,nadia.nakagawa086@example.com,(603) 555-0186,4044 Orchardstone Way,Nashua,NH,03062,,,,,9,Separated,0,US Citizen,SYN-CRDT-000086,****0086,Blue Larkspur Manufacturing,manufacturing,Quality Engineer
BORR-000087,Andre,Okafor,1993-03-22,Age is never a credit factor (CRD-SCR-006); date of birth is held for identity verification only.,SYN-SSN-000087,***-**-0087,andre.okafor087@example.com,(913) 555-0187,4423 Larkspur Avenue,Overland Park,KS,66210,,,,,7,Separated,0,US Citizen,SYN-CRDT-000087,****0087,Sable Ridge Software,technology,Software Engineer
BORR-000088,Isaac,Hollingsworth,1978-11-02,Age is never a credit factor (CRD-SCR-006); date of birth is held for identity verification only.,SYN-SSN-000088,***-**-0088,isaac.hollingsworth088@example.com,(919) 555-0188,6407 Yarrowfield Road,Cary,NC,27513,,,,,9,Married,3,Permanent Resident,SYN-CRDT-000088,****0088,Cartwright & Vale Advisory,professional_services,Analyst
BORR-000089,Omar,Underhill,1961-04-20,Age is never a credit factor (CRD-SCR-006); date of birth is held for identity verification only.,SYN-SSN-000089,***-**-0089,omar.underhill089@example.com,(303) 555-0189,3363 Gullwing Road,Broomfield,CO,80020,,,,,11,Separated,2,US Citizen,SYN-CRDT-000089,****0089,Northgate Public Schools,education,School Counsellor
BORR-000090,Malik,Guerrero,1974-06-05,Age is never a credit factor (CRD-SCR-006); date of birth is held for identity verification only.,SYN-SSN-000090,***-**-0090,malik.guerrero090@example.com,(972) 555-0190,7930 Larkspur Avenue,Plano,TX,75024,,,,,12,Separated,1,Permanent Resident,SYN-CRDT-000090,****0090,Northgate Public Schools,education,Curriculum Coordinator
